iter	Passed	Remaining
0	0	70
1	1	61
2	1	57
3	2	54
4	2	52
5	3	51
6	3	50
7	4	49
8	4	48
9	5	47
10	5	46
11	6	46
12	6	45
13	7	44
14	7	44
15	8	43
16	8	43
17	9	42
18	9	41
19	10	41
20	10	40
21	11	40
22	11	39
23	12	39
24	12	38
25	13	38
26	13	37
27	14	37
28	14	36
29	15	36
30	16	35
31	16	35
32	16	34
33	17	33
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	15
73	41	14
74	41	13
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
